,0
A,0.0911082272036336
AAPL,0.1862007937729119
ABBV,0.14079268360922895
ABT,0.10183089057066391
ACGL,0.13404455760091302
ACN,0.1255514746457731
ADBE,0.15033183041502984
ADI,0.13146680445005723
ADM,0.0014604837495997593
ADP,0.1258339856207096
ADSK,0.12076707148183172
AEE,0.09332287381496775
AEP,0.07312153917100442
AES,-0.005777485294639801
AFL,0.12304916219340209
AIG,0.036144589046625236
AIZ,0.11816047463411397
AJG,0.1924199025946809
AKAM,-0.010277261105803527
ALB,0.015637897058613136
ALGN,0.08429887471473457
ALL,0.10212805388780105
ALLE,0.06080324315472331
AMAT,0.17208446260037627
AMCR,0.017480741373408996
AMD,0.32558639064543077
AME,0.10648573113502735
AMGN,0.07147092543714087
AMP,0.1289139243602104
AMT,0.07259512538147368
AMZN,0.21216806918315573
ANET,0.27677921513296827
ANSS,0.10770964212655029
AON,0.12524933679517325
AOS,0.06389969194200068
APA,-0.1306030704394441
APD,0.07529619807657197
APH,0.1316433695190272
APO,0.20283746727069393
APTV,-0.026570886558039974
ARE,0.010893744592285013
ATO,0.10319534302418953
AVB,0.036360849263668255
AVGO,0.2702186328737705
AVY,0.11596714824021637
AWK,0.0904893592805103
AXON,0.2907138030738346
AXP,0.1157613262159333
AZO,0.14269180090719474
BA,-0.009142916162339306
BAC,0.09500292616576061
BALL,0.020954358488178757
BAX,-0.015690055837126272
BBY,0.07392774745930279
BDX,0.033658148475199046
BEN,-0.08131492755919278
BF-B,-0.018835376448937236
BG,-0.009700189962016948
BIIB,-0.13164947707337935
BK,0.07794891431423508
BKNG,0.11484301839339289
BKR,-0.0015040637357384562
BLDR,0.282964355443462
BLK,0.09488715902530839
BMY,-0.003197606219314114
BR,0.14429347568923212
BRK-B,0.0983967295125833
BRO,0.1866760797939586
BSX,0.15748783222922993
BWA,-0.0764866845075621
BX,0.16085387857954359
BXP,-0.0582012636797164
C,0.032517246696485064
CAG,0.0015968263587673205
CAH,0.03921948202070792
CAT,0.1402710178956827
CB,0.08771181337239864
CBOE,0.12078312993120413
CBRE,0.11603971645682937
CCI,0.025089686585627224
CCL,-0.08073329651864508
CDNS,0.23285430718407546
CDW,0.13715268292856406
CE,-0.024542705333952756
CF,0.0246447244813772
CFG,0.06658816157372321
CHD,0.08454851311961889
CHRW,0.027606530026225175
CHTR,0.04374840622766682
CI,0.07536247575393426
CINF,0.10468467356645558
CL,0.0239198225572366
CLX,0.0343567180161245
CMCSA,0.01341303826891065
CME,0.11167318896034159
